cell_id,_dummy,SNAP25,GFAP,CX3CR1,PLP1,RIMS1,UNC13A,STXBP5,APOE,ITGAM,SLC1A3
WT_A_cell029,0,7,1,1,0,3,2,2,1,0,1
WT_B_cell000,0,9,1,1,2,9,4,1,1,1,0
WT_B_cell001,0,0,0,0,5,0,1,0,1,0,0
WT_B_cell002,0,2,2,1,1,4,1,3,1,0,0
WT_B_cell003,0,1,13,2,1,0,0,0,2,1,5
WT_B_cell004,0,8,1,1,1,2,2,2,0,0,2
WT_B_cell005,0,1,1,9,0,1,0,0,7,10,1
WT_B_cell006,0,6,0,0,0,4,5,2,0,1,0
WT_B_cell007,0,9,1,1,0,1,0,2,0,0,0
WT_B_cell008,0,3,0,0,1,6,6,3,0,0,0
WT_B_cell009,0,5,0,1,1,7,7,3,0,0,0
WT_B_cell010,0,0,1,0,12,0,0,0,1,1,0
WT_B_cell011,0,0,10,0,0,0,2,0,0,1,1
WT_B_cell012,0,5,1,0,0,6,4,0,0,0,1
WT_B_cell013,0,2,4,0,0,2,1,0,0,1,6
WT_B_cell014,0,0,0,0,9,0,0,0,0,0,0
WT_B_cell015,0,6,1,1,2,4,2,2,0,0,1
WT_B_cell016,0,0,6,1,1,0,0,0,0,0,4
WT_B_cell017,0,0,2,7,0,0,0,1,4,3,0
WT_B_cell018,0,4,0,1,1,0,0,0,0,0,3
WT_B_cell019,0,0,8,0,2,0,0,1,1,0,12
WT_B_cell020,0,0,0,3,0,0,0,0,3,2,0
WT_B_cell021,0,1,0,0,9,0,0,0,0,0,0
WT_B_cell022,0,6,1,0,1,5,2,3,0,0,2
WT_B_cell023,0,0,0,0,2,0,0,0,2,0,0
WT_B_cell024,0,5,1,1,1,4,5,3,0,0,0
WT_B_cell025,0,2,0,5,0,0,0,1,9,12,0
WT_B_cell026,0,2,1,8,1,1,0,0,5,6,0
WT_B_cell027,0,7,0,0,1,8,9,2,0,0,0
WT_B_cell028,0,5,1,0,1,2,3,2,0,0,0
WT_B_cell029,0,0,0,10,1,1,1,0,2,6,0
